module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
compass,bmad-compass-oversight-checkpoint,Oversight Checkpoint,OC,"Generate a verification report from the oversight risk and assumption registers",,--content,0-governance,,,false,,
compass,bmad-compass-phase-closeout,Phase Closeout,PC,"Close the active phase and archive artifacts into previous/ with lessons capture and roadmap updates",,--content,0-governance,,,false,,
compass,bmad-compass-phase-sync,Phase Sync,PS,"Select and sync the active roadmap slice in planning/current/phase.md and phase-state.yaml",,--content,0-governance,,,true,,
compass,bmad-agent-design-thinking-coach,Design Thinking Coach,DTC,"Human-centered design expert and empathy architect (Maya persona)",,--content,1-analysis,,,false,,
compass,bmad-agent-innovation-strategist,Innovation Strategist,ISA,"Business model innovator and strategic disruption expert (Victor persona)",,--content,1-analysis,,,false,,
compass,bmad-agent-wds-analyst,WDS Analyst,WDA,"Strategic business analyst and product discovery partner for the WDS planning lane (Saga persona)",,--content,1-analysis,,,false,,
compass,bmad-compass-design-thinking,Design Thinking,DT,"Guide human-centered design processes using empathy-driven methodologies",,--content,1-analysis,,,false,,
compass,bmad-compass-ingest-whitepapers,Ingest Whitepapers,IW,"Ingest external whitepapers into a condensed digest for downstream BMAD workflows",,--content,1-analysis,,,false,,
compass,bmad-compass-innovation-strategy,Innovation Strategy,IS,"Identify disruption opportunities and architect business model innovation",,--content,1-analysis,,,false,,
compass,bmad-compass-vtc-workshop,VTC Workshop,VTC,"Facilitate Vision-Traction-Clarity workshop connecting business goals to user needs",,--content,1-analysis,,,false,,
compass,bmad-agent-wds-designer,WDS Designer,WDD,"Strategic UX designer for conceptual specifications and design delivery (Freya persona)",,--content,2-plan-workflows,,,false,,
compass,bmad-compass-conceptual-specs,Conceptual Specs,CSP,"Conceptual specification reference for WDS deliverables and tools",,--content,2-plan-workflows,,,false,,
compass,bmad-compass-outline-scenarios,Outline Scenarios,OS,"Transform Trigger Maps into UX scenario outlines",,--content,2-plan-workflows,,,false,,
compass,bmad-compass-trigger-mapping,Trigger Mapping,TM,"Effect Mapping workshop connecting business goals to user psychology",,--content,2-plan-workflows,,,false,,
compass,bmad-compass-wds-ux-design,WDS UX Design,WUX,"Create WDS UX specifications through scenario-driven design",,--content,2-plan-workflows,,,false,,
compass,bmad-agent-security-architect,Security Architect,SAA,"Security architect and release-risk reviewer for the conditional CYBERSEC lane (Bastion persona)",,--content,3-solutioning,,,false,,
compass,bmad-agent-threat-analyst,Threat Analyst,TAA,"Threat modeling specialist for the conditional CYBERSEC lane (Cipher persona)",,--content,3-solutioning,,,false,,
compass,bmad-compass-security-architecture-review,Security Architecture Review,SAR,"Comprehensive security analysis using STRIDE, control assessment, and zero-trust principles",,--content,3-solutioning,,,false,,
compass,bmad-compass-threat-modeling,Threat Modeling,TH,"STRIDE-based threat modeling for identifying, assessing, and mitigating security threats",,--content,3-solutioning,,,false,,
compass,bmad-agent-tea,Test Architect,TEA,"Master test architect and quality advisor specializing in risk-based testing and CI/CD governance (Murat persona)",,--content,4-implementation,,,false,,
compass,bmad-compass-implementation-brainstorming,Implementation Brainstorming,IB,"Focused brainstorming for active implementation work",,--content,4-implementation,,,false,,
