name,type,description,module,path
"bmad-agent-builder","agent","Agent architecture specialist for creating, editing, and validating BMAD agents. Use when the user asks to talk to Bond or requests the agent builder.","bmad-builder","_bmad/bmad-builder/bmad-agent-builder"
"bmad-module-builder","workflow","Module architecture specialist for creating, editing, and validating BMAD modules. Use when the user asks to talk to Morgan or requests the module builder.","bmad-builder","_bmad/bmad-builder/bmad-module-builder"
"bmad-workflow-builder","workflow","Workflow architecture specialist for creating, editing, validating, and reworking BMAD workflows. Use when the user asks to talk to Wendy or requests the workflow builder.","bmad-builder","_bmad/bmad-builder/bmad-workflow-builder"
"bmad-agent-analyst","agent","Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.","bmm","_bmad/bmm/1-analysis/bmad-agent-analyst"
"bmad-agent-architect","agent","System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.","bmm","_bmad/bmm/3-solutioning/bmad-agent-architect"
"bmad-agent-dev","agent","Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.","bmm","_bmad/bmm/4-implementation/bmad-agent-dev"
"bmad-agent-pm","agent","Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-pm"
"bmad-agent-quick-flow-solo-dev","agent","Elite full-stack developer for rapid spec and implementation. Use when the user asks to talk to Barry or requests the quick flow solo dev.","bmm","_bmad/bmm/4-implementation/bmad-agent-quick-flow-solo-dev"
"bmad-agent-tech-writer","agent","Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.","bmm","_bmad/bmm/1-analysis/bmad-agent-tech-writer"
"bmad-agent-ux-designer","agent","UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-ux-designer"
"bmad-check-implementation-readiness","workflow","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_bmad/bmm/3-solutioning/bmad-check-implementation-readiness"
"bmad-checkpoint-preview","workflow","LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says ""checkpoint"", ""human review"", or ""walk me through this change"".","bmm","_bmad/bmm/4-implementation/bmad-checkpoint-preview"
"bmad-code-review","workflow","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","bmm","_bmad/bmm/4-implementation/bmad-code-review"
"bmad-correct-course","workflow","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_bmad/bmm/4-implementation/bmad-correct-course"
"bmad-create-architecture","workflow","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_bmad/bmm/3-solutioning/bmad-create-architecture"
"bmad-create-epics-and-stories","workflow","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_bmad/bmm/3-solutioning/bmad-create-epics-and-stories"
"bmad-create-prd","workflow","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_bmad/bmm/2-plan-workflows/bmad-create-prd"
"bmad-create-story","workflow","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_bmad/bmm/4-implementation/bmad-create-story"
"bmad-create-ux-design","workflow","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_bmad/bmm/2-plan-workflows/bmad-create-ux-design"
"bmad-dev-story","workflow","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-dev-story"
"bmad-document-project","workflow","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_bmad/bmm/1-analysis/bmad-document-project"
"bmad-domain-research","workflow","Conduct domain and industry research. Use when the user says ""lets create a research report on [domain or industry]""","bmm","_bmad/bmm/1-analysis/research/bmad-domain-research"
"bmad-edit-prd","workflow","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_bmad/bmm/2-plan-workflows/bmad-edit-prd"
"bmad-generate-project-context","workflow","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_bmad/bmm/3-solutioning/bmad-generate-project-context"
"bmad-market-research","workflow","Conduct market research on competition and customers. Use when the user says ""create a market research report about [business idea]"".","bmm","_bmad/bmm/1-analysis/research/bmad-market-research"
"bmad-prfaq","workflow","Working Backwards PRFAQ challenge to forge product concepts. Use when the user requests to 'create a PRFAQ', 'work backwards', or 'run the PRFAQ challenge'.","bmm","_bmad/bmm/1-analysis/bmad-prfaq"
"bmad-product-brief","workflow","Create product brief through collaborative discovery. Use when the user says ""lets create a product brief"" or ""help me create a project brief""","bmm","_bmad/bmm/1-analysis/bmad-product-brief"
"bmad-qa-generate-e2e-tests","workflow","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_bmad/bmm/4-implementation/bmad-qa-generate-e2e-tests"
"bmad-quick-dev","workflow","Implement a Quick Tech Spec for small changes or features. Use when the user provides a quick tech spec and says ""implement this quick spec"" or ""proceed with implementation of [quick tech spec]""","bmm","_bmad/bmm/4-implementation/bmad-quick-dev"
"bmad-retrospective","workflow","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_bmad/bmm/4-implementation/bmad-retrospective"
"bmad-sprint-planning","workflow","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-sprint-planning"
"bmad-sprint-status","workflow","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_bmad/bmm/4-implementation/bmad-sprint-status"
"bmad-technical-research","workflow","Conduct technical research on technologies and architecture. Use when the user says ""create a technical research report on [topic]"".","bmm","_bmad/bmm/1-analysis/research/bmad-technical-research"
"bmad-validate-prd","workflow","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_bmad/bmm/2-plan-workflows/bmad-validate-prd"
"bmad-agent-creative-problem-solver","agent","Systematic problem-solving expert and solutions architect. Use when the user asks to talk to Dr. Quinn or requests the problem solver agent.","compass","_bmad/compass/anytime/bmad-agent-creative-problem-solver"
"bmad-agent-design-thinking-coach","agent","Human-centered design expert and empathy architect. Use when the user asks to talk to Maya or requests the design thinking coach.","compass","_bmad/compass/1-analysis/bmad-agent-design-thinking-coach"
"bmad-agent-innovation-strategist","agent","Business model innovator and strategic disruption expert. Use when the user asks to talk to Victor or requests the innovation strategist.","compass","_bmad/compass/1-analysis/bmad-agent-innovation-strategist"
"bmad-agent-security-architect","agent","Security architect and release-risk reviewer for the conditional CYBERSEC lane. Use when the user asks to talk to Bastion or requests the security architect.","compass","_bmad/compass/3-solutioning/bmad-agent-security-architect"
"bmad-agent-tea","agent","Master test architect and quality advisor specializing in risk-based testing and CI/CD governance. Use when the user asks to talk to Murat or requests the test architect.","compass","_bmad/compass/4-implementation/bmad-agent-tea"
"bmad-agent-threat-analyst","agent","Threat modeling specialist for the conditional CYBERSEC lane. Use when the user asks to talk to Cipher or requests the threat analyst.","compass","_bmad/compass/3-solutioning/bmad-agent-threat-analyst"
"bmad-agent-wds-analyst","agent","Strategic business analyst and product discovery partner for the WDS planning lane. Use when the user asks to talk to Saga or requests the WDS analyst.","compass","_bmad/compass/1-analysis/bmad-agent-wds-analyst"
"bmad-agent-wds-designer","agent","Strategic UX designer for conceptual specifications and design delivery. Use when the user asks to talk to Freya or requests the WDS designer.","compass","_bmad/compass/2-plan-workflows/bmad-agent-wds-designer"
"bmad-compass-advanced-elicitation","workflow","Push the LLM to reconsider, refine, and improve recent output through iterative elicitation methods. Use when called from a Compass workflow checkpoint.","compass","_bmad/compass/anytime/bmad-compass-advanced-elicitation"
"bmad-compass-autonomous-refinement-loop","workflow","Run an autonomous, agent-team refinement loop that combines party-mode collaboration and advanced elicitation until zero unresolved issues remain.","compass","_bmad/compass/anytime/bmad-compass-autonomous-refinement-loop"
"bmad-compass-conceptual-specs","workflow","Conceptual specification reference for WDS deliverables and tools. Use when the user says ""conceptual specs""","compass","_bmad/compass/2-plan-workflows/bmad-compass-conceptual-specs"
